,Sex,Housing,Saving accounts,Credit amount,Risk
86,female,own,little,1295,good
87,male,free,moderate,12612,bad
88,male,own,moderate,2249,good
89,male,own,little,1108,bad
90,male,own,little,618,good
91,male,own,little,1409,good
92,female,own,NA,797,bad
93,male,rent,NA,3617,good
94,male,own,rich,1318,good
95,male,rent,little,15945,bad
96,female,own,NA,2012,good
97,male,own,moderate,2622,good
98,male,own,little,2337,good
99,male,rent,NA,7057,good
100,male,rent,moderate,1469,good
101,male,rent,little,2323,good
102,female,own,little,932,good
103,male,rent,little,1919,good
104,male,rent,NA,2445,good
105,male,own,little,11938,bad
106,male,own,little,6458,bad
107,male,own,little,6078,good
108,female,own,NA,7721,good
109,male,own,quite rich,1410,good
110,male,own,moderate,1449,good
111,female,rent,little,392,good
112,male,rent,little,6260,good
113,female,own,little,7855,bad
114,male,own,quite rich,1680,good
115,male,own,NA,3578,good
116,female,own,NA,7174,bad
117,female,rent,NA,2132,good
118,female,own,quite rich,4281,bad
119,male,own,quite rich,2366,good
120,female,own,little,1835,bad
121,female,rent,little,3868,good
122,male,rent,little,1768,good
123,male,free,little,781,good
124,female,rent,NA,1924,bad
125,male,own,little,2121,good
126,male,own,little,701,good
127,male,own,little,639,bad
128,male,own,little,1860,good
129,female,own,little,3499,bad
130,female,own,NA,8487,good
131,male,own,little,6887,bad
132,male,own,little,2708,good
133,male,free,little,1984,good
134,female,own,moderate,10144,good
135,female,own,NA,1240,good
136,male,own,rich,8613,good
137,male,own,quite rich,766,bad
138,male,own,NA,2728,good
139,female,rent,little,1881,good
140,male,own,rich,709,good
141,female,own,little,4795,good
142,male,own,little,3416,good
143,male,own,little,2462,bad
144,female,own,little,2288,good
145,male,own,moderate,3566,good
146,female,own,little,860,good
147,female,own,moderate,682,good
148,male,own,little,5371,good
149,male,own,rich,1582,good
150,male,free,moderate,1346,good
151,male,own,little,1924,good
152,male,own,little,5848,good
153,female,rent,rich,7758,good
154,male,rent,moderate,6967,good
155,female,rent,little,1282,bad
156,male,own,moderate,1288,good
157,male,own,little,339,good
158,male,own,moderate,3512,good
159,male,own,NA,1898,good
160,male,own,moderate,2872,good
161,female,own,little,1055,good
162,male,own,quite rich,1262,good
163,male,free,little,7308,good
164,male,own,quite rich,909,good
165,male,own,quite rich,2978,good
166,female,own,little,1131,bad
167,female,own,rich,1577,good
168,female,rent,little,3972,good
169,male,own,little,1935,bad
170,male,rent,little,950,bad
171,female,own,little,763,good
172,female,own,little,2064,bad
173,male,own,little,1414,good
174,male,own,little,3414,bad
175,female,own,NA,7485,bad
176,male,own,little,2577,good
177,male,own,quite rich,338,good
178,male,rent,little,1963,good
179,male,own,little,571,good
180,male,own,little,9572,bad
181,male,own,little,4455,bad
182,male,own,NA,1647,bad
183,male,own,rich,3777,good
184,male,own,little,884,bad
185,male,own,little,1360,good
186,female,free,little,5129,bad
187,male,free,little,1175,good
188,male,own,moderate,674,bad
189,female,own,little,3244,good
190,male,own,rich,4591,bad
191,male,free,moderate,3844,bad
192,male,own,little,3915,bad
193,male,rent,little,2108,good
194,male,rent,moderate,3031,bad
195,female,own,little,1501,bad
196,female,own,little,1382,good
197,female,rent,moderate,951,bad
198,male,free,NA,2760,good
199,male,own,little,4297,bad
200,male,own,quite rich,936,good
201,male,own,little,1168,good
202,male,own,little,5117,good
203,male,rent,little,902,bad
204,male,own,little,1495,good
205,male,free,little,10623,good
206,male,own,little,1935,good
207,male,own,little,1424,good
208,male,own,little,6568,good
209,male,own,rich,1413,good
210,male,own,NA,3074,good
211,female,own,NA,3835,good
212,male,own,little,5293,bad
213,male,own,little,1908,bad
214,male,own,NA,3342,good
215,female,own,NA,932,good
216,male,own,little,3104,good
217,male,own,little,3913,good
218,male,rent,little,3021,good
219,female,own,little,1364,good
220,male,own,little,625,good
221,female,rent,NA,1200,good
222,male,own,little,707,good
223,male,own,NA,2978,good
224,male,own,little,4657,good
225,male,own,little,2613,good
226,male,own,rich,10961,bad
227,male,free,little,7865,bad
228,male,own,little,1478,bad
229,male,free,little,3149,good
230,male,own,little,4210,bad
231,male,free,quite rich,2507,good
232,male,own,moderate,2141,good
233,male,own,little,866,good
234,male,own,little,1544,good
235,male,own,little,1823,bad
236,male,own,NA,14555,bad
237,male,rent,moderate,2767,bad
238,female,own,little,1291,good
239,male,own,little,2522,good
240,female,own,NA,915,bad
241,male,own,little,1595,good
242,male,free,little,4605,bad
243,female,own,little,1185,good
244,female,own,quite rich,3447,good
245,male,own,little,1258,good
246,male,own,little,717,good
247,male,rent,moderate,1204,good
248,male,own,little,1925,good
249,female,rent,little,433,bad
250,female,own,rich,666,good
251,female,own,little,2251,good
252,female,own,little,2150,bad
253,male,own,moderate,4151,good
254,male,own,NA,2030,good
255,male,own,NA,7418,good
256,male,own,little,2684,good
257,male,free,little,2149,bad
258,female,own,moderate,3812,good
259,female,own,moderate,1154,good
260,male,own,little,1657,good
261,female,own,little,1603,good
262,male,free,little,5302,good
263,female,free,little,2748,good
264,male,own,little,1231,good
265,male,own,little,802,bad
266,male,own,NA,6304,good
267,female,own,little,1533,good
268,male,own,little,8978,bad
269,male,own,NA,999,good
270,male,own,NA,2662,good
271,female,rent,quite rich,1402,good
272,male,free,NA,12169,good
273,male,own,little,3060,bad
274,male,own,little,11998,bad
275,male,own,little,2697,good
276,female,own,little,2404,good
277,male,own,NA,1262,good
278,female,own,little,4611,bad
279,male,rent,moderate,1901,good
280,male,rent,rich,3368,good
281,male,own,little,1574,good
282,male,own,NA,1445,good
283,male,own,NA,1520,good
284,male,own,moderate,3878,good
285,female,own,little,10722,good
286,male,own,little,4788,good
287,male,free,moderate,7582,good
288,female,own,little,1092,good
289,male,own,little,1024,bad
290,male,own,little,1076,good
291,male,rent,little,9398,bad
292,female,free,little,6419,good
293,male,free,little,4796,good
294,male,own,NA,7629,good
295,female,own,little,9960,bad
296,female,rent,NA,4675,good
297,male,own,NA,1287,good
298,male,own,little,2515,good
299,male,own,rich,2745,good
300,female,own,little,672,good
301,female,own,little,3804,bad
302,male,own,NA,1344,bad
303,male,own,little,1038,good
304,male,free,quite rich,10127,bad
305,male,own,rich,1543,good
306,female,rent,NA,4811,good
307,male,own,moderate,727,bad
308,female,own,little,1237,bad
309,male,rent,little,276,good
310,male,free,NA,5381,good
311,male,own,moderate,5511,good
312,female,own,little,3749,good
313,male,own,little,685,bad
314,male,own,NA,1494,good
315,male,own,little,2746,bad
316,male,own,little,708,good
317,female,own,NA,4351,good
318,male,own,little,701,good
319,female,own,little,3643,good
320,male,own,little,4249,bad
321,male,own,little,1938,bad
322,male,free,little,2910,good
323,male,own,rich,2659,good
324,female,own,little,1028,good
325,male,own,little,3398,good
326,male,rent,NA,5801,good
327,female,own,rich,1525,good
328,male,own,little,4473,good
329,male,own,little,1068,good
330,male,free,little,6615,good
331,female,own,moderate,1864,bad
332,female,own,moderate,7408,bad
333,female,rent,moderate,11590,bad
334,male,rent,little,4110,bad
335,male,rent,little,3384,bad
336,female,own,little,2101,good
337,female,rent,NA,1275,bad
338,male,own,little,4169,good
339,male,own,little,1521,good
340,female,free,little,5743,good
341,female,rent,little,3599,good
342,male,rent,quite rich,3213,good
343,male,own,little,4439,good
344,male,own,little,3949,good
345,female,own,little,1459,good
346,male,own,little,882,good
347,female,rent,quite rich,3758,good
348,male,own,moderate,1743,good
349,male,free,rich,1136,bad
350,female,rent,little,1236,good
351,female,own,little,959,bad
352,male,own,NA,3229,good
353,male,rent,little,6199,bad
354,male,free,quite rich,727,good
355,male,own,little,1246,bad
356,male,own,NA,2331,good
357,male,own,little,4463,bad
358,male,own,little,776,good
359,female,rent,little,2406,bad
360,male,free,NA,1239,good
361,male,own,NA,3399,good
362,female,own,little,2247,good
363,male,rent,little,1766,good
364,male,own,little,2473,bad
365,male,own,little,1542,good
366,male,own,little,3850,good
367,female,rent,little,3650,good
368,male,own,little,3446,bad
369,female,rent,little,3001,good
370,male,own,NA,3079,good
371,male,own,little,6070,good
372,female,rent,little,2146,good
373,male,free,NA,13756,good
374,female,free,moderate,14782,bad
375,female,rent,little,7685,bad
376,male,own,little,2320,good
377,male,free,NA,846,good
378,male,free,little,14318,bad
379,female,own,moderate,362,good
380,male,own,NA,2212,good
381,female,free,little,12976,bad
382,female,rent,NA,1283,good
383,male,own,little,1330,good
384,male,own,moderate,4272,good
385,female,own,little,2238,good
386,female,rent,NA,1126,good
387,male,own,little,7374,good
388,male,own,quite rich,2326,good
389,female,own,little,1449,good
390,male,own,little,1820,good
391,female,rent,rich,983,good
392,male,free,little,3249,good
393,female,own,little,1957,good
394,male,own,little,2406,good
395,male,rent,moderate,11760,good
396,female,free,little,2578,good
397,male,own,little,2348,good
398,male,rent,little,1223,bad
399,female,own,rich,1516,good
400,male,own,little,1473,good
401,male,own,NA,1887,good
402,male,own,little,8648,bad
403,male,own,little,802,good
404,male,own,NA,2899,good
405,male,own,little,2039,bad
406,male,own,NA,2197,good
407,male,own,little,1053,good
408,male,own,quite rich,3235,good
409,male,own,quite rich,939,bad
410,female,own,little,1967,good
411,male,own,little,7253,good
412,male,own,little,2292,bad
413,male,rent,quite rich,1597,good
414,female,own,NA,1381,bad
415,male,own,little,5842,good
416,male,own,little,2579,bad
417,female,rent,NA,8471,good
418,female,own,quite rich,2782,good
419,female,own,NA,1042,bad
420,female,rent,rich,3186,good
421,male,own,NA,2028,good
422,male,own,little,958,good
423,male,own,moderate,1591,good
424,female,own,NA,2762,bad
425,male,rent,little,2779,good
426,male,own,little,2743,good
427,male,own,rich,1149,good
428,male,own,little,1313,good
429,female,free,little,1190,bad
430,male,own,little,3448,good
431,male,own,little,11328,bad
432,male,free,little,1872,good
433,male,own,little,2058,good
434,male,own,little,2136,good
435,male,own,NA,1484,bad
436,male,rent,quite rich,660,good
437,female,own,rich,1287,good
438,male,own,little,3394,good
439,female,own,little,609,bad
440,male,own,little,1884,good
441,female,own,little,1620,good
442,male,own,little,2629,good
443,male,own,little,719,bad
444,female,own,little,5096,bad
445,female,rent,NA,1244,good
446,female,own,little,1842,bad
447,male,own,little,2576,good
448,female,own,NA,1424,good
449,male,own,rich,1512,bad
450,male,own,NA,11054,good
451,female,own,little,518,good
452,male,own,little,2759,good
453,male,own,little,2670,good
454,male,own,little,4817,bad
455,female,own,little,2679,good
456,male,rent,little,3905,good
457,male,free,little,3386,bad
458,female,own,little,343,good
459,male,own,little,4594,good
460,male,own,little,3620,good
461,male,own,little,1721,good
462,female,rent,little,3017,good
463,male,own,NA,754,good
464,male,own,little,1950,good
465,male,own,little,2924,good
466,female,rent,little,1659,bad
467,male,own,NA,7238,good
468,female,own,little,2764,good
469,male,own,little,4679,good
470,male,rent,moderate,3092,bad
471,female,own,little,448,bad
472,male,own,little,654,bad
473,male,own,NA,1238,good
474,male,own,little,1245,bad
475,female,rent,little,3114,bad
476,male,own,quite rich,2569,good
477,male,own,little,5152,good
478,male,own,moderate,1037,good
479,male,own,little,1478,good
480,female,own,little,3573,good
481,male,own,little,1201,good
482,female,rent,rich,3622,good
483,female,own,rich,960,good
484,male,own,quite rich,1163,good
485,male,own,little,1209,bad
486,male,own,little,3077,good
487,female,free,little,3757,good
488,male,rent,moderate,1418,good
489,male,rent,little,3518,good
490,male,own,little,1934,good
491,female,free,little,8318,bad
492,female,own,moderate,1237,good
493,male,own,NA,368,good
494,male,rent,little,2122,good
495,male,own,NA,2996,bad
496,male,rent,moderate,9034,bad
497,male,own,little,1585,good
498,male,own,little,1301,good
499,male,own,moderate,1323,good
500,female,own,little,3123,bad
501,male,free,little,5493,good
502,male,own,moderate,1126,good
503,male,own,moderate,1216,bad
504,female,rent,little,1207,bad
505,male,own,NA,1309,bad
506,male,own,quite rich,2360,good
507,male,own,moderate,6850,bad
508,male,own,little,1413,good
509,male,own,moderate,8588,good
510,male,own,little,759,bad
511,male,free,little,4686,good
512,male,rent,little,2687,good
513,male,rent,little,585,good
514,male,own,NA,2255,good
515,female,own,little,609,good
516,male,own,little,1361,good
517,female,rent,little,7127,bad
518,male,own,moderate,1203,good
519,male,free,NA,700,good
520,male,free,little,5507,good
521,female,own,little,3190,bad
522,male,free,little,7119,bad
523,female,own,moderate,3488,good
524,female,own,little,1113,good
525,male,own,little,7966,good
526,female,own,moderate,1532,good
527,male,own,little,1503,good
528,male,rent,little,2302,bad
529,male,own,little,662,good
530,male,own,little,2273,good
531,female,rent,moderate,2631,bad
532,male,rent,little,1503,good
533,male,own,moderate,1311,good
534,male,own,NA,3105,good
535,male,rent,little,2319,bad
536,female,own,NA,1374,good
537,female,own,little,3612,good
538,male,free,little,7763,bad
539,female,own,little,3049,good
540,male,rent,little,1534,bad
541,male,free,little,2032,good
542,male,own,NA,6350,bad
543,male,own,little,2864,bad
544,male,own,little,1255,good
545,male,free,little,1333,bad
546,female,own,little,2022,good
547,male,own,little,1552,good
548,female,own,little,626,bad
549,male,free,NA,8858,good
550,female,own,NA,996,good
551,male,own,quite rich,1750,good
552,male,own,little,6999,bad
553,male,own,moderate,1995,good
554,female,own,little,1199,good
555,male,own,little,1331,bad
556,female,own,moderate,2278,bad
557,female,own,NA,5003,bad
558,male,own,little,3552,bad
559,male,own,little,1928,bad
560,male,free,NA,2964,good
561,male,rent,little,1546,bad
562,female,own,little,683,good
563,male,free,NA,12389,bad
564,male,own,NA,4712,good
565,female,rent,moderate,1553,good
566,male,own,little,1372,bad
567,male,own,rich,2578,good
568,male,own,NA,3979,good
569,female,own,little,6758,bad
570,female,rent,little,3234,bad
571,male,own,little,5954,good
572,female,rent,NA,5433,good
573,female,own,little,806,good
574,male,own,little,1082,good
575,female,own,little,2788,good
576,female,own,little,2930,good
577,female,own,NA,1927,good
578,male,own,little,2820,bad
579,male,own,little,937,good
580,male,own,little,1056,bad
581,male,own,little,3124,good
582,female,rent,little,1388,good
583,male,rent,little,2384,bad
584,female,free,NA,2133,good
585,female,rent,little,2039,bad
586,male,rent,little,2799,good
587,male,own,little,1289,good
588,male,own,little,1217,bad
589,male,own,little,2246,bad
590,female,own,little,385,good
591,female,rent,NA,1965,good
592,female,own,rich,1572,good
593,female,rent,little,2718,bad
594,male,own,NA,1358,bad
595,female,own,moderate,931,bad
596,female,rent,little,1442,bad
597,male,own,little,4241,bad
598,male,own,little,2775,bad
599,male,free,little,3863,good
600,female,own,little,2329,good
601,female,own,little,918,bad
602,female,free,little,1837,bad
603,female,own,little,3349,bad
604,female,own,little,1275,good
605,male,own,quite rich,2828,good
606,male,own,little,4526,good
607,female,free,moderate,2671,bad
608,male,own,little,2051,good
609,male,free,NA,1300,good
610,female,own,moderate,741,bad
611,female,free,moderate,1240,bad
612,female,own,rich,3357,good
613,female,rent,little,3632,good
614,female,own,little,1808,bad
615,male,own,NA,12204,good
616,male,free,NA,9157,good
617,male,rent,little,3676,good
618,female,rent,moderate,3441,bad
619,male,own,little,640,good
620,male,own,little,3652,good
621,male,own,little,1530,bad
622,male,own,NA,3914,bad
623,female,rent,little,1858,good
624,male,free,little,2600,bad
625,male,own,NA,1979,good
626,male,own,little,2116,good
627,male,own,moderate,1437,bad
628,male,own,quite rich,4042,good
629,male,own,NA,3832,good
630,female,own,little,3660,good
631,male,own,little,1553,bad
632,male,own,NA,1444,good
633,female,rent,little,1980,bad
634,female,own,little,1355,bad
635,male,own,little,1393,good
636,female,own,quite rich,1376,good
637,male,own,little,15653,good
638,female,own,little,1493,good
639,male,own,little,4370,bad
640,female,own,little,750,bad
641,male,own,little,1308,good
642,male,own,moderate,4623,bad
643,male,own,little,1851,good
644,male,own,little,1880,good
645,male,rent,NA,7980,bad
646,male,own,little,4583,good
647,female,own,quite rich,1386,bad
648,male,free,little,947,bad
649,male,rent,little,684,bad
650,male,free,little,7476,good
651,male,own,little,1922,bad
652,male,own,little,2303,bad
653,male,own,moderate,8086,bad
654,male,own,little,2346,good
655,male,free,little,3973,good
656,male,own,little,888,bad
657,male,own,NA,10222,good
658,female,own,little,4221,good
659,male,own,little,6361,good
660,male,rent,little,1297,good
661,male,own,NA,900,bad
662,male,own,little,2241,good
663,male,own,little,1050,good
664,female,own,little,1047,good
665,male,own,little,6314,good
666,male,own,rich,3496,good
667,female,own,little,3609,good
668,male,rent,little,4843,bad
669,male,own,little,3017,good
670,male,own,moderate,4139,good
671,male,own,moderate,5742,good
672,male,own,little,10366,good
673,male,own,quite rich,2080,good
674,male,own,quite rich,2580,bad
675,female,rent,little,4530,good
676,male,own,little,5150,good
677,male,own,moderate,5595,bad
678,male,rent,little,2384,good
679,female,own,little,1453,good
680,female,own,little,1538,good
681,male,free,NA,2279,good
682,male,own,little,1478,good
683,male,free,little,5103,good
684,male,own,moderate,9857,good
685,male,free,NA,6527,good
686,male,own,NA,1347,good
687,male,free,moderate,2862,good
688,male,own,moderate,2753,good
689,male,own,rich,3651,good
690,male,own,little,975,good
691,female,own,moderate,2631,good
692,male,own,moderate,2896,good
693,male,own,NA,4716,good
694,male,own,little,2284,good
695,male,rent,quite rich,1236,good
696,male,own,little,1103,good
697,female,own,little,926,good
698,male,own,little,1800,good
699,male,rent,little,1905,good
700,female,rent,quite rich,1123,bad
701,male,free,little,6331,bad
702,female,free,moderate,1377,good
703,male,own,moderate,2503,good
704,female,own,little,2528,good
705,female,free,quite rich,5324,good
706,male,own,moderate,6560,bad
707,female,rent,little,2969,bad
708,female,own,little,1206,good
709,male,own,little,2118,good
710,male,own,quite rich,629,good
711,female,free,little,1198,bad
712,male,own,NA,2476,good
713,male,own,little,1138,good
714,male,own,little,14027,bad
715,male,own,NA,7596,good
716,male,own,NA,3077,good
717,male,free,little,1505,good
718,male,own,NA,3148,good
719,male,own,moderate,6148,good
720,male,own,little,1337,bad
721,female,rent,rich,433,bad
722,female,own,little,1228,bad
723,female,own,quite rich,790,good
724,female,rent,little,2570,bad
725,female,own,rich,250,good
726,male,own,quite rich,1316,good
727,female,rent,little,1882,bad
728,female,rent,little,6416,bad
729,male,own,rich,1275,good
730,male,own,little,6403,good
731,male,rent,little,1987,bad
732,female,own,little,760,good
733,female,rent,rich,2603,good
734,female,own,little,3380,good
735,female,own,NA,3990,good
736,female,rent,little,11560,bad
737,male,own,moderate,4380,good
738,male,own,little,6761,good
739,female,rent,moderate,4280,bad
740,male,own,moderate,2325,good
741,male,own,little,1048,good
742,male,own,NA,3160,good
743,male,own,quite rich,2483,good
744,male,own,NA,14179,good
745,male,own,little,1797,good
746,female,rent,little,2511,good
747,female,own,little,1274,bad
748,male,own,NA,5248,good
749,male,own,little,3029,good
750,female,own,little,428,good
751,female,own,little,976,bad
752,female,rent,moderate,841,good
753,female,own,little,5771,good
754,male,free,rich,1555,bad
755,female,rent,NA,1285,bad
756,male,own,little,1299,good
757,male,free,NA,1271,bad
758,male,own,little,1393,good
759,male,own,little,691,bad
760,female,own,NA,5045,good
761,female,rent,little,2124,bad
762,male,own,little,2214,good
763,male,free,NA,12680,bad
764,male,own,moderate,2463,good
765,male,own,little,1155,good
766,male,own,little,3108,bad
767,female,rent,NA,2901,good
768,male,rent,little,3617,good
769,male,own,little,1655,good
770,female,rent,NA,2812,good
771,female,own,little,8065,bad
772,male,own,little,3275,good
773,male,own,moderate,2223,good
774,male,free,quite rich,1480,good
775,female,rent,NA,1371,bad
776,male,own,little,3535,good
777,female,own,little,3509,good
778,male,own,rich,5711,good
779,female,own,little,3872,good
780,male,own,little,4933,bad
781,male,own,rich,1940,good
782,male,own,little,1410,good
783,female,own,moderate,836,bad
784,male,own,NA,6468,good
785,male,own,rich,1941,good
786,male,own,quite rich,2675,good
787,male,own,NA,2751,good
788,male,free,little,6224,bad
789,male,own,little,5998,bad
790,female,own,little,1188,bad
791,male,own,NA,6313,good
792,male,own,NA,1221,good
793,male,free,little,2892,good
794,male,rent,quite rich,3062,good
795,female,rent,moderate,2301,good
796,male,free,NA,7511,bad
797,female,rent,little,1258,good
798,male,own,NA,717,good
799,male,own,NA,1549,good
800,male,free,little,1597,good
801,female,rent,little,1795,good
802,female,own,little,4272,good
803,male,own,NA,976,good
804,female,rent,NA,7472,good
805,male,own,little,9271,bad
806,male,own,little,590,good
807,male,own,NA,930,good
808,male,free,little,9283,good
809,female,rent,little,1778,bad
810,male,own,little,907,good
811,male,own,little,484,good
812,male,own,little,9629,bad
813,male,own,little,3051,bad
814,male,free,little,3931,bad
815,female,rent,little,7432,good
816,male,own,quite rich,1338,good
817,female,rent,little,1554,good
818,male,own,little,15857,good
819,male,own,little,1345,bad
820,male,own,little,1101,good
821,male,own,little,3016,good
822,male,own,little,2712,bad
823,male,own,little,731,good
824,male,own,little,3780,good
825,male,own,little,1602,good
826,female,rent,little,3966,bad
827,male,own,little,4165,bad
828,male,free,NA,8335,bad
829,male,free,NA,6681,good
830,male,own,quite rich,2375,good
831,female,rent,little,1216,bad
832,male,rent,little,11816,bad
833,female,own,NA,5084,good
834,female,own,little,2327,bad
835,male,own,little,1082,bad
836,female,own,NA,886,good
837,female,rent,little,601,good
838,male,own,little,2957,good
839,male,own,little,2611,good
840,male,own,little,5179,bad
841,male,own,little,2993,good
842,female,own,little,1943,bad
843,male,own,little,1559,good
844,male,own,little,3422,good
845,male,own,NA,3976,good
846,male,rent,NA,6761,bad
847,male,own,little,1249,good
848,male,own,little,1364,good
849,male,own,little,709,bad
850,male,rent,little,2235,bad
851,male,own,NA,4042,good
852,male,free,little,1471,good
853,male,free,little,1442,bad
854,male,own,little,10875,good
855,male,own,moderate,1474,good
856,female,own,NA,894,good
857,male,free,little,3343,good
858,female,own,little,3959,bad
859,male,rent,moderate,3577,good
860,male,own,rich,5804,good
861,male,own,little,2169,bad
862,female,own,little,2439,bad
863,male,own,rich,4526,good
864,male,rent,little,2210,bad
865,female,rent,quite rich,2221,good
866,female,own,little,2389,good
867,male,own,little,3331,good
868,male,own,NA,7409,good
869,female,rent,little,652,good
870,female,own,quite rich,7678,good
871,male,own,little,1343,good
872,male,own,moderate,1382,good
873,female,own,NA,874,good
874,male,own,little,3590,good
875,female,own,rich,1322,good
876,male,free,little,1940,good
877,male,own,little,3595,good
878,male,free,little,1422,bad
879,male,own,NA,6742,good
880,male,own,little,7814,good
881,male,free,NA,9277,good
882,male,own,NA,2181,good
883,female,own,little,1098,good
884,male,own,little,4057,bad
885,female,own,little,795,bad
886,male,own,NA,2825,good
887,male,own,little,15672,bad
888,male,own,little,6614,good
889,male,rent,NA,7824,good
890,male,own,little,2442,good
891,male,own,little,1829,good
892,male,own,little,2171,good
893,male,own,little,5800,good
894,male,own,NA,1169,good
895,male,own,NA,8947,good
896,female,rent,little,2606,good
897,female,own,rich,1592,good
898,female,rent,NA,2186,good
899,male,own,little,4153,bad
900,male,rent,little,2625,bad
901,male,own,NA,3485,good
902,male,free,NA,10477,good
903,male,rent,NA,1386,good
904,male,own,little,1278,good
905,male,rent,little,1107,good
906,male,own,NA,3763,good
907,male,own,NA,3711,good
908,female,own,little,3594,good
909,female,own,NA,3195,good
910,female,own,little,4454,good
911,female,own,little,4736,bad
912,female,own,NA,2991,good
913,male,own,rich,2142,good
914,male,rent,little,3161,bad
915,female,own,little,18424,bad
916,male,own,moderate,2848,good
917,male,own,little,14896,bad
918,male,own,moderate,2359,bad
919,male,rent,little,3345,bad
920,female,own,little,1817,good
921,male,own,quite rich,12749,good
922,female,rent,little,1366,bad
923,male,rent,little,2002,good
924,male,own,little,6872,bad
925,male,own,little,697,bad
926,female,rent,little,1049,good
927,male,free,little,10297,bad
928,male,own,NA,1867,good
929,male,own,little,1344,good
930,male,own,little,1747,good
931,female,own,little,1670,bad
932,male,own,little,1224,good
933,male,own,quite rich,522,good
934,female,own,little,1498,good
935,male,own,moderate,1919,bad
936,female,own,little,745,bad
937,male,rent,little,2063,good
938,male,free,little,6288,bad
939,male,own,NA,6842,good
940,male,own,NA,3527,good
941,male,own,little,1546,good
942,male,own,NA,929,good
943,male,own,little,1455,good
944,female,rent,little,1845,good
945,female,own,quite rich,8358,good
946,male,free,quite rich,3349,bad
947,male,own,NA,2859,good
948,male,own,little,1533,bad
949,male,own,moderate,3621,bad
950,male,own,little,3590,good
951,male,own,little,2145,bad
952,female,rent,quite rich,4113,bad
953,female,own,little,10974,bad
954,female,own,little,1893,good
955,female,rent,rich,1231,good
956,male,own,NA,3656,good
957,male,own,little,1154,good
958,male,own,little,4006,bad
959,male,free,moderate,3069,good
960,male,rent,little,1740,good
961,male,own,little,2353,good
962,male,own,NA,3556,good
963,male,own,quite rich,2397,bad
964,male,own,little,454,good
965,female,own,NA,1715,good
966,male,own,quite rich,2520,bad
967,female,rent,little,3568,good
968,male,rent,NA,7166,good
969,male,own,little,3939,good
970,male,own,moderate,1514,good
971,male,own,little,7393,good
972,female,rent,little,1193,bad
973,male,rent,little,7297,bad
974,female,own,little,2831,good
975,female,own,quite rich,1258,good
976,female,own,little,753,good
977,male,own,NA,2427,good
978,male,own,little,2538,bad
979,male,rent,moderate,1264,bad
980,male,own,little,8386,bad
981,male,rent,little,4844,bad
982,female,own,moderate,2923,good
983,male,own,little,8229,bad
984,male,own,little,2028,good
985,female,rent,little,1433,good
986,male,own,little,6289,good
987,female,own,moderate,1409,good
988,male,free,little,6579,good
989,male,own,little,1743,good
990,male,own,NA,3565,good
991,male,own,moderate,1569,good
992,male,rent,NA,1936,good
993,male,own,little,3959,good
994,male,own,NA,2390,good
995,female,own,little,1736,good
996,male,own,little,3857,good
